number,date,place,claim,infact,slug,repeat,source,category1,category2,category3,category4,placecategory,10mostcommon,count,quote,lastupdated
83,2-18-2017,"Campaign rally in Melbourne, Florida","""Ford, General Motors, Fiat Chrysler are bringing in and bringing back thousands of Jobs, investing billions of dollars because of the new business climate that we are creating in our country. In Arizona, Intel, great company, just announced it will open a new plant that will create at least 10,000 brand new beautiful American Jobs.""","GM did not offer any indication that it made its new investment of $1 billion because of Trump, and independent automotive analysts said it was unlikely Trump was a major factor; GM invested $2.9 billion last year, before Trump was elected. The parent company of Chrysler said Trump had no influence on its newly announced $1 billion investment in Michigan and Ohio, telling ThinkProgress, ""This plan was in the works back in 2015."" Intel says its new plant, on which it began and then halted work under Barack Obama, will employ up to 3,000 people; the 10,000 figure is an estimate of how many will be created ""indirectly.""",Car Jobs,Yes,https://www.youtube.com/watch?v=M353f0yzOf8,Economy,Exaggeration,Jobs,,Speeches,,,,
82,2-18-2017,"Campaign rally in Melbourne, Florida","""Jobs are already starting to pour back in. They're coming back in like you haven't seen in a long time.""","There is no evidence of Jobs returning to the U.S. at levels unseen in a ""long time."" Even if we give Trump credit for the good January Jobs report -- calculated while Barack Obama was still in office -- there is no sign of a boom that is without recent precedent. The U.S. economy added 227,000 Jobs in January. It did better than that during 11 months out of the last two years. For example, it added 233,000 in February 2016, 275,000 in July 2016 and 271,000 in December 2015.",Jobs returning,no,https://www.youtube.com/watch?v=M353f0yzOf8,Economy,Jobs,,,Speeches,,,,
81,2-18-2017,"Campaign rally in Melbourne, Florida","""I also got Boeing in. I said do me a favour, give me a competing offer (for the F-35 fighter plane). And now they're competing and fighting and we've gotten hundreds of millions of dollars off the price of a plane that was going to be ordered ... So they're going to make plenty of money, but it's going to be a lot less than they would have made without Trump.""","Trump did not personally secure these savings: Lockheed Martin had been moving to cut the price well before Trump was elected, multiple aviation and defence experts say. Just a week after Trump's election, the head of the F-35 program announced a reduction of 6 to 7 per cent -- in the $600 million to $700 million range. ""Trump's claimed $600 million cut is right in the ballpark of what the price reduction was going to be all along,"" wrote Popular Mechanics. ""Bottom line: Trump appears to be taking credit for years of work by the Pentagon and Lockheed,"" Aviation Week reported, per the Washington Post.",F-35 savings,Yes,https://www.youtube.com/watch?v=M353f0yzOf8,Military,Exaggeration,,,Speeches,,,,
80,2-16-2017,White House press conference,"""I guess it was the biggest electoral college win since Ronald Reagan.""","George H.W. Bush, Bill Clinton and Barack Obama all earned bigger margins in the electoral college than Trump did.",Election victory size,Yes,https://www.thestar.com/news/world/2017/02/16/everything-trump-said-in-his-wild-and-hostile-thursday-news-conference.html,Election,Exaggeration,,,Press conferences or scrums,,,,
79,2-16-2017,White House press conference,"""(Former campaign manager Paul Manafort) said that he has absolutely nothing to do and never has with Russia. He said that very forcefully. I saw his statement. He said it forcefully. Most of the papers do not print it because it's not good for their stories.""","The New York Times story Trump was criticizing included Manafort's denial, in which he said he never ""knowingly"" had contact with Russian intelligence officers. Other major outlets that followed up on the story also printed a denial from Manafort.",Manafort denial,no,https://www.thestar.com/news/world/2017/02/16/everything-trump-said-in-his-wild-and-hostile-thursday-news-conference.html,Russian ties,Media,,,Press conferences or scrums,,,,
78,2-16-2017,White House press conference,"""I will say that I never get phone calls from the media. How do they write a story like that in the Wall Street Journal without asking me or how do they write a story in the New York Times put it on the front page.""","Media outlets almost always call his administration for comment on major stories. The Journal, in its story about U.S. intelligence declining to share some information with Trump, prominently quoted a denial from an anonymous administration official. The Times also sought comment for its story, but the administration declined to provide one.",Media doesnt call,no,https://www.thestar.com/news/world/2017/02/16/everything-trump-said-in-his-wild-and-hostile-thursday-news-conference.html,Media,US intelligence,,,Press conferences or scrums,,,,
77,2-16-2017,White House press conference,"""Remember, I used to give you a news conference every time I made a speech, which was like every day. OK?""","This is not even close to true. Trump indeed gave near-daily speeches during the campaign, but he did not do a single news conference over the last three months of the campaign.",Campaign news conferences,no,https://www.thestar.com/news/world/2017/02/16/everything-trump-said-in-his-wild-and-hostile-thursday-news-conference.html,Election,Media,,,Press conferences or scrums,,,,
76,2-16-2017,White House press conference,"""We had a very smooth rollout of the travel ban.""","We don't usually fact-check claims like ""smooth"" -- it's vague, and it's a matter of opinion -- but the rollout of the travel ban was so obviously not smooth that we're making an exception here. The implementation of the ban resulted in mass confusion among U.S. allies like Canada, caused travel problems for thousands of visa-holders and permanent residents, necessitated a series of clarifications and reversals by U.S. officials, and appeared so hasty that a federal appeals court has found that the administration may have violated residents' constitutional right to due process.",Smooth rollout,Yes,https://www.thestar.com/news/world/2017/02/16/everything-trump-said-in-his-wild-and-hostile-thursday-news-conference.html,Immigration,Exaggeration,,,Press conferences or scrums,,,,
75,2-16-2017,White House press conference,"""That's the other thing that was wrong with the travel ban. You had Delta with a massive problem with their computer system at the airports.""","The Delta outage had nothing to do with the chaos created by the travel ban. The travel ban caused mass confusion on a Saturday; the Delta outage occurred more than a day and a half later, on a Sunday night.",Travel chaos denials,Yes,https://www.thestar.com/news/world/2017/02/16/everything-trump-said-in-his-wild-and-hostile-thursday-news-conference.html,Immigration,,,,Press conferences or scrums,,,,
74,2-16-2017,White House press conference,"""(Labour secretary nominee Alex Acosta)'s a member and has been a member of the National Labor Relations Board.""",Acosta is not currently a member of the board. He served on it from 2002 to 2003.,Acosta board,no,https://www.thestar.com/news/world/2017/02/16/everything-trump-said-in-his-wild-and-hostile-thursday-news-conference.html,Trump White House,,,,Press conferences or scrums,,,,
73,2-16-2017,White House press conference,"Speaking about the news media, ""I mean, you have a lower approval rate than Congress. I think that's right.""","The media is unpopular with Americans, but Congress has consistently been even less popular. Last year, Gallup found that just 9 per cent had confidence in Congress; 20 per cent had confidence in newspapers, 21 per cent in television news. While the new Congress is now up to a 28 per cent approval rating, Gallup found in September that 32 per cent said they had trust in the media.",Media approval,Yes,https://www.thestar.com/news/world/2017/02/16/everything-trump-said-in-his-wild-and-hostile-thursday-news-conference.html,Media,Exaggeration,Congress,,Press conferences or scrums,,,,
